subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
1,2,7400,0.1913704976239829,0.37253432583751,0.43459546442599656,-0.1575708776114609,-0.05060810810810806,0.06321560194656652,0.4670489967226822,
2,2,6525,0.03991358460253753,0.12796294605493602,0.18632796245336733,0.04511712303927518,0.049578544061302667,0.019719091813917112,0.1890838330955614,
3,2,7225,0.16231255448525425,0.44122148908401443,0.5281364357959026,-0.21388630461115327,-0.10847058823529417,0.06461765048320031,0.5636364383200185,
4,2,7575,0.079251721741495,0.33699341669540983,0.44672993444036496,-0.004005526052941584,0.10122772277227722,0.02684602902607842,0.4527143778126696,
5,2,10875,0.08136756312616479,0.5023843824348572,0.5842346553246763,-0.051878731011487975,-0.025195402298850617,0.033756157011941436,0.608039355938138,
6,2,7150,0.1282624017203782,0.292556144896035,0.37133621478355977,-0.12302341993377133,-0.05437762237762237,0.04842895164473451,0.388743354750764,
7,2,7000,0.05312354928335382,0.3088413064425544,0.3740618783155743,0.20225355493224093,-0.02507142857142857,0.04896196441692755,0.3061022154877853,
8,2,7850,0.013691350838437134,0.3144067482932168,0.40884543687845387,0.0773164780755901,-0.05445859872611465,0.019797066035053327,0.38951038170748287,
9,2,10325,0.10575194555968292,0.15175539494838935,0.2314454902743349,0.1113215958941773,0.08925907990314769,0.03351254376291832,0.24143714825600304,
10,2,9850,0.08404878297125754,0.5195708919555931,0.6031534625069273,-0.0922112390726124,-0.1036243654822335,0.05712460858153058,0.6275211574609622,
