subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
10,2,1954,0.014744211403138733,0.5802437426245933,0.66800326008652,-0.12071905281307022,-0.1048618219037871,0.23690188144575725,0.6297079844634238,
1,2,1464,0.03063836678185813,0.4358671353325817,0.526411409203915,-0.2549930008871308,-0.053620218579234935,0.16064786181099283,0.4685176111321065,
2,2,1289,-0.007467327909949254,0.1600371739215126,0.21642604260364554,0.05341407834697454,0.04968968192397207,0.10183266183857889,0.19002444796523296,
3,2,1429,0.07677933201526879,0.49491056859534965,0.6102619906858565,-0.3280697830328998,-0.10657802659202242,0.18465267792775214,0.5658945534208181,
4,2,1499,0.12650696437834547,0.39183691884773103,0.49382981468017284,-0.12654957431725775,0.09919946631087391,0.1457177719793785,0.4549622915116303,
5,2,2159,0.0652090609800501,0.590383087881962,0.7191857712876464,-0.31252166933900727,-0.026354793886058363,0.314774275334505,0.6101922688917246,
6,2,1414,0.09546740311908938,0.3244035036931449,0.41038110120389665,0.06269687785117596,-0.051485148514851475,0.14716113160285188,0.38922172479502964,
7,2,1384,0.11697063610923222,0.2658590620135985,0.3263676001018205,-0.08689294100841345,-0.025939306358381497,0.1495774424013794,0.30746819340852205,
8,2,1554,0.24059759460873947,0.32511414498129093,0.44980881255862604,-0.2486161708524942,-0.05501930501930502,0.2746047086685888,0.3918456553865746,
9,2,2049,0.07289252854269523,0.1237762490733767,0.23948057297515285,0.05059784735162529,0.08923865300146412,0.04119205046249202,0.24221929439699025,
