subject_id,modality,mean_abs_attribution,signed_mean_attribution,n_frames
1,speech,0.0444076769053936,-0.031209440901875496,7400
1,raw_face,0.01923271268606186,-0.010903057642281055,7400
1,transcript,0.07260633260011673,-0.05469682812690735,7400
1,landmarks,0.06560845673084259,-0.03793613612651825,7400
1,fullbody,0.035397451370954514,-0.02052442729473114,7400
2,speech,0.019579503685235977,0.004581112414598465,6525
2,raw_face,0.006606988608837128,0.0016004177741706371,6525
2,transcript,0.03818626329302788,0.008028730750083923,6525
2,landmarks,0.025075042620301247,0.005568496882915497,6525
2,fullbody,0.012232743203639984,0.003012698842212558,6525
3,speech,0.05478958413004875,-0.04027000069618225,7225
3,raw_face,0.018104417249560356,-0.01406838558614254,7225
3,transcript,0.09118309617042542,-0.07057613134384155,7225
3,landmarks,0.06598049402236938,-0.04894955828785896,7225
3,fullbody,0.037870410829782486,-0.02648298256099224,7225
4,speech,0.0377112478017807,-0.012735855765640736,7575
4,raw_face,0.012074185535311699,-0.004449286963790655,7575
4,transcript,0.057588230818510056,-0.022320518270134926,7575
4,landmarks,0.04458509758114815,-0.015480855479836464,7575
4,fullbody,0.022748610004782677,-0.008375545963644981,7575
5,speech,0.052924592047929764,-0.015938226133584976,10875
5,raw_face,0.017926648259162903,-0.005568034015595913,10875
5,transcript,0.0879221186041832,-0.02793290838599205,10875
5,landmarks,0.06201263889670372,-0.019373450428247452,10875
5,fullbody,0.034538451582193375,-0.010481533594429493,10875
6,speech,0.029990309849381447,-0.02296445704996586,7150
6,raw_face,0.013615195639431477,-0.008022665977478027,7150
6,transcript,0.060846708714962006,-0.04024690389633179,7150
6,landmarks,0.047047220170497894,-0.027914080768823624,7150
6,fullbody,0.02365262620151043,-0.015102238394320011,7150
7,speech,0.037611547857522964,0.00978888850659132,7000
7,raw_face,0.012777598574757576,0.003419761313125491,7000
7,transcript,0.05975343659520149,0.017155732959508896,7000
7,landmarks,0.038127243518829346,0.011898739263415337,7000
7,fullbody,0.02095390111207962,0.006437517236918211,7000
8,speech,0.03404509276151657,-0.002228150609880686,7850
8,raw_face,0.010997912846505642,-0.0007784034823998809,7850
8,transcript,0.05746183916926384,-0.0039049892220646143,7850
8,landmarks,0.04612056538462639,-0.0027083884924650192,7850
8,fullbody,0.024276115000247955,-0.0014653073158115149,7850
9,speech,0.02966935746371746,0.018677888438105583,10325
9,raw_face,0.0081141022965312,0.006525145843625069,10325
9,transcript,0.048937249928712845,0.03273437172174454,10325
9,landmarks,0.034316714853048325,0.022703615948557854,10325
9,fullbody,0.017178354784846306,0.01228324044495821,10325
10,speech,0.07241670787334442,-0.04505863040685654,9850
10,raw_face,0.023541370406746864,-0.015741292387247086,9850
10,transcript,0.11865738779306412,-0.07896856218576431,9850
10,landmarks,0.07406658679246902,-0.05477030202746391,9850
10,fullbody,0.03837937116622925,-0.029632139950990677,9850
