subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
10,2,196,0.1640231423971456,0.5924594036729968,0.7262170414633441,-0.47724364515469997,-0.1063265306122449,0.3505610349402183,0.6086013704155101,
1,2,147,0.43118548263468054,0.34097429229126497,0.4090624828689615,-0.1370259608541216,-0.05440136054421763,0.27160962575930836,0.4621453618812516,
2,2,129,0.32948923690415866,0.20997286167440485,0.25889426000563187,0.11321037314658941,0.048151162790697664,0.2562623903148698,0.17337775896824095,
3,2,143,0.30376813401529934,0.4675931669548673,0.5692019329565663,-0.3491761046689707,-0.11432167832167833,0.31641150261981776,0.5568448780417927,
4,2,150,0.4353720627441885,0.31785403647740684,0.3863595295653718,0.11975866874059041,0.09642666666666667,0.2548439477036348,0.44596580357192817,
5,2,216,0.18624268876743183,0.4900099526180161,0.5977980294497074,0.175676215853956,-0.02743055555555554,0.19298592678885987,0.6005457971185282,
6,2,142,0.2500951602004429,0.3284671112517236,0.3986520164250578,-0.07824605703353882,-0.054711267605633794,0.2642803474146028,0.3762004930881957,
7,2,139,0.07594134316720057,0.5482810220581166,0.6168994337009188,0.5126759945917473,-0.025604316546762585,0.18564638897812005,0.29602427031319734,
8,2,156,0.2459917483735174,0.35561202064232955,0.4353759703426114,0.204854055474966,-0.05543589743589741,0.2041569088565842,0.37677829942355,
9,2,205,0.2985568534866866,0.21747553717217796,0.27488767442118855,0.11572357299851208,0.08935853658536586,0.22964421529286708,0.23301032006414435,
