subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
10,2,9850,0.09567633821017259,0.560287312000536,0.6496212468847327,0.0403717431380664,-0.1036243654822335,0.2283374450804696,0.6275211574609622,
1,2,7400,0.015425387955226511,0.5408981003326339,0.6560445871772486,-0.5074668830874803,-0.05060810810810806,0.10140419459853058,0.4670489967226822,
2,2,6525,-0.10472255346375489,0.22299501983598732,0.2693552457416573,0.17001973208796475,0.049578544061302667,0.12416060756174309,0.1890838330955614,
3,2,7225,0.1312517972845746,0.4768005018564244,0.5769123174234416,-0.26775183336132535,-0.10847058823529417,0.2001384682083402,0.5636364383200185,
4,2,7575,-0.02068057069205589,0.40750849681954965,0.5035080547299736,-0.027931871933512167,0.10122772277227722,0.16355774714195526,0.4527143778126696,
5,2,10875,0.08100389062890455,0.5367638062203067,0.6294280066161825,0.011775332987993613,-0.025195402298850617,0.24499333588226047,0.608039355938138,
6,2,7150,0.1502702546405498,0.34825494011298763,0.43389083274068657,-0.21949152372933767,-0.05437762237762237,0.2077745822350595,0.388743354750764,
7,2,7000,0.10977492055501326,0.354538331076077,0.426134882184845,0.27844459634167806,-0.02507142857142857,0.13476880992505413,0.3061022154877853,
8,2,7850,0.2056943850186842,0.30096326850781774,0.38146342242035697,-0.13070909287519517,-0.05445859872611465,0.16020127287069494,0.38951038170748287,
9,2,10325,0.2103629966209269,0.26257311499551766,0.3146800654387966,0.27406945011517614,0.08925907990314769,0.18154093924691753,0.24143714825600304,
