subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
1,2,7400,0.18957229731711533,0.3722903096364416,0.4340760808598305,-0.15238456249988747,-0.05060810810810806,0.06327584655994474,0.4670489967226822,
2,2,6525,0.004731287418520742,0.12856645898568844,0.18949675429502502,0.042599199629027515,0.049578544061302667,0.016682814229017563,0.1890838330955614,
3,2,7225,0.17496422640788323,0.43918585446598385,0.5232067317127108,-0.20520045281460977,-0.10847058823529417,0.06895925608183076,0.5636364383200185,
4,2,7575,0.06568519147477442,0.3377930678087162,0.44992200683378847,-0.004756019484269621,0.10122772277227722,0.02187205936526247,0.4527143778126696,
5,2,10875,0.0773452432027567,0.5036087139248706,0.5854107241068127,-0.05141573586670611,-0.025195402298850617,0.03217198267219146,0.608039355938138,
6,2,7150,0.12576888360795618,0.29129275410994204,0.3712334493172992,-0.11902485631565106,-0.05437762237762237,0.0483724154767523,0.388743354750764,
7,2,7000,0.02836924116494732,0.308517687995859,0.37366688684767224,0.19220951430060085,-0.02507142857142857,0.05285956195181557,0.3061022154877853,
8,2,7850,-0.0012970698265614004,0.3148012857885783,0.41081531916452585,0.07389844252697803,-0.05445859872611465,0.018887483864210717,0.38951038170748287,
9,2,10325,0.09280894001712132,0.15018132003625945,0.23213325215634986,0.10649000406196622,0.08925907990314769,0.02845635765422404,0.24143714825600304,
10,2,9850,0.08370541956390144,0.5202213939705914,0.6030656217323631,-0.09015131409842429,-0.1036243654822335,0.05429077986426906,0.6275211574609622,
