subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
10,2,9850,0.06182188061705989,0.5753977411924696,0.678646226834985,-0.026624360939554,-0.1036243654822335,0.30198982840978755,0.6275211574609622,
1,2,7400,0.13730104826152487,0.4283895709176321,0.508486895153744,-0.08272338760060233,-0.05060810810810806,0.2838012904109162,0.4670489967226822,
2,2,6525,0.2227484655809426,0.2379744485303531,0.30515485854455865,0.030233742427865893,0.049578544061302667,0.28927357610790205,0.1890838330955614,
3,2,7225,-0.022486454912001585,0.5329529396732786,0.6451151359737115,-0.27552208936544437,-0.10847058823529417,0.24784841880048766,0.5636364383200185,
4,2,7575,0.019344318923260464,0.42445227944123076,0.539144478213045,-0.014679606441814121,0.10122772277227722,0.2793310106359035,0.4527143778126696,
5,2,10875,0.09726671914513227,0.5509831795947304,0.6439503132674179,-0.16093030405729666,-0.025195402298850617,0.2668629073192244,0.608039355938138,
6,2,7150,0.049322459965408495,0.3901559770341728,0.4808870388401177,-0.14405018101049052,-0.05437762237762237,0.2899783976124572,0.388743354750764,
7,2,7000,0.03930924109657391,0.3908818051244531,0.4779207898107532,0.2389789641542094,-0.02507142857142857,0.27264086899075474,0.3061022154877853,
8,2,7850,-0.0974515082169916,0.4559397819862185,0.5796397394002467,0.20374034904219376,-0.05445859872611465,0.2962475989219168,0.38951038170748287,
9,2,10325,-0.1554052581505512,0.33018874120183705,0.4266686612689145,0.15120657392486606,0.08925907990314769,0.30891914422247313,0.24143714825600304,
