subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
1,2,7400,0.5562618973613797,0.28497851787754214,0.3600565857146241,-0.20883568280074444,-0.05060810810810806,0.22132616732430357,0.4670489967226822,
2,2,6525,0.16980460248213677,0.12420658629681641,0.19122762451611697,-0.03077433883487265,0.049578544061302667,0.04287408681662673,0.1890838330955614,
3,2,7225,0.5008628031023953,0.3595868399340182,0.43532193211380676,-0.25391286987901557,-0.10847058823529417,0.20205454828450128,0.5636364383200185,
4,2,7575,0.3139009926294388,0.34734657629281773,0.42988698136214476,-0.11692786324289765,0.10122772277227722,0.12965656017383467,0.4527143778126696,
5,2,10875,0.42064874164964516,0.42823174242045,0.4986274104789425,-0.13285994216405797,-0.025195402298850617,0.2187411881139983,0.608039355938138,
6,2,7150,0.30441118448676685,0.2704793826190533,0.3481714119304642,-0.16781615521472235,-0.05437762237762237,0.1014136093772664,0.388743354750764,
7,2,7000,0.3581190834523328,0.21407929140893472,0.2551433175239512,-0.004865147621503898,-0.02507142857142857,0.08550372128494584,0.3061022154877853,
8,2,7850,0.13895911461286545,0.2800406647815256,0.36547504028497907,-0.06465104225050113,-0.05445859872611465,0.0575004888677682,0.38951038170748287,
9,2,10325,0.29736612800398327,0.11590711890016714,0.22015550054179195,0.03935846157263757,0.08925907990314769,0.09054897849830172,0.24143714825600304,
10,2,9850,0.3505269955958457,0.48174682513643335,0.5668163823358672,-0.27773674327483033,-0.1036243654822335,0.26567145273057297,0.6275211574609622,
