subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
10,2,9850,-0.0019466231085751291,0.6517612390506087,0.857849561439641,-0.5834502350920953,-0.1036243654822335,0.33235591410898685,0.6275211574609622,
1,2,7400,-0.0302762770026707,0.4438601320788667,0.5354934683807234,-0.08707491349529575,-0.05060810810810806,0.24261485742651065,0.4670489967226822,
2,2,6525,0.001901018008508873,0.1450843003481284,0.21525644159247784,-0.024871809491709276,0.049578544061302667,0.07161031112978962,0.1890838330955614,
3,2,7225,-0.008143413163075241,0.561423942565918,0.6848011502142919,-0.3183212568355679,-0.10847058823529417,0.32162283829328303,0.5636364383200185,
4,2,7575,0.026936964943006268,0.41632081992555375,0.5243881265350829,-0.14655527612950542,0.10122772277227722,0.1274693732252405,0.4527143778126696,
5,2,10875,0.0772430879791133,0.6174351264822072,0.7426165906480583,-0.36217770630189744,-0.025195402298850617,0.33819266228625716,0.608039355938138,
6,2,7150,0.02023262270432374,0.3118449470413314,0.39848489949900506,-0.01903166870970826,-0.05437762237762237,0.09848131840330554,0.388743354750764,
7,2,7000,-0.19103616644447355,0.3309871482815061,0.3947644623735967,-0.054382900748934065,-0.02507142857142857,0.19048744709809032,0.3061022154877853,
8,2,7850,0.044185612934122855,0.35693647805900325,0.44781353128195805,-0.19912051913085257,-0.05445859872611465,0.19277453260380586,0.38951038170748287,
9,2,10325,-0.011855494637217565,0.15587263160063627,0.26646811172652757,0.05040696385986291,0.08925907990314769,0.10184268068356427,0.24143714825600304,
