subject_id,story_id,n_points,ccc,mae,rmse,pred_mean,true_mean,pred_std,true_std,warnings
1,2,7400,0.12482068484676377,0.3950233614274074,0.46102532731412743,-0.1837032461798171,-0.05060810810810806,0.08371966530678948,0.4670489967226822,
2,2,6525,0.23489975922197345,0.1299668969743496,0.18037639577912767,0.029023878683846344,0.049578544061302667,0.07968371535944499,0.1890838330955614,
3,2,7225,0.0921519985483753,0.4635354835981419,0.5544904531798979,-0.22230469282497378,-0.10847058823529417,0.08957912271065695,0.5636364383200185,
4,2,7575,0.09156198590396337,0.3554196117668852,0.4565209833609733,-0.03136795845017968,0.10122772277227722,0.08297825908910804,0.4527143778126696,
5,2,10875,0.08223516668243602,0.5101504797327278,0.5890247237797078,-0.065110661908556,-0.025195402298850617,0.08205528971938494,0.608039355938138,
6,2,7150,0.10845498807552009,0.30042300177881354,0.38107335060023656,-0.1090808742680958,-0.05437762237762237,0.09364003201238373,0.388743354750764,
7,2,7000,0.09560205879257876,0.28513504973139076,0.3397087576713656,0.14444186912530235,-0.02507142857142857,0.0718862335473614,0.3061022154877853,
8,2,7850,0.09117186840996795,0.2829771097014379,0.3846852000754161,0.0018749660497922806,-0.05445859872611465,0.08908553641068775,0.38951038170748287,
9,2,10325,0.06632987570473518,0.1517220397319906,0.2484699205621527,0.07540330689824377,0.08925907990314769,0.08740348945826687,0.24143714825600304,
10,2,9850,0.07500034139165995,0.5226881740446283,0.6114677011879347,-0.11191888653375398,-0.1036243654822335,0.10176898247479164,0.6275211574609622,
